"city" "index" "average_age" "crime_rate" "earthquake" "dependency_ratio" "pay_per_income" "education_rate" "garbagegenerated" "green_ground" "municipal_waste_recycling_rate" "hou_total" "AQI.over100rate." "med_examine_rate" "typhoon_rain" "people_per_bed" "people_per_doctor" "energy_ratio" "unemployment_rate" "dist_temp" "dist_humid" "population_density" "water_got"
"F" "New Taipei City" 81.84 866.77 27 37.56 0.746086645353806 47.87 1538164 2.15 65.1 47.7425 4.98 92228 4 309.97 772.51 0.010820390716183 3.9 55.2 384 1963.86 0.00309300785868556
"A" "Taipei City" 84.12 1476.75 13 47.68 0.817367678148144 77.08 781781 3.1 71.16 59.7225 3.28 90879 3 135.11 277.36 0.00246994995449192 3.9 55.7 351 9574.76 0.00411158284334031
"H" "Taoyuan City" 81.35 870.46 16 37.92 0.786689437770492 45.45 1258474 2.87 61.03 30.6525 5.4 92200 3 179.15 561.65 0.0243979903638876 4 54.7 436 1858.22 0.00163873295524917
"B" "Taichung City" 81.11 852.55 38 38.18 0.833449639451035 49.71 1131384 9.5 57.2 39.8475 8.58 93686 4 154.2 467.76 0.0163704744282879 3.9 54.8 331 1273.55 0.0024949961978696
"D" "Tainan City" 80.46 1307.73 30 39.69 0.822497526404197 41.52 981281 5.47 62.22 30.02 15.64 93882 3 195.84 538.25 0.0331169275299315 3.8 57 354 855.48 0.00538606412977215
"E" "Kaohsiung City" 79.9 944.73 34 39.6 0.826934890940283 46.51 1423421 10.86 55.68 30.1525 20.8 93923 9 160.84 452.52 0.02516545429865 3.8 64.8 345 937.02 0.00491294399139241
"G" "Yilan County" 80.26 1685.06 47 40.7 0.819927703328897 35 194981 3.7 59.7 33.1525 1.09 93543 9 132.54 690.1 0.00991646191078424 3.9 48.9 459 211.36 0.0753304773696884
"J" "Hsinchu County" 80.91 1239.44 14 40.96 0.840818702763705 45.33 241352 3.86 54.49 31.95 5.74 92727 5 252.64 1131.16 0.0166540697282106 3.8 57.6 349 399.83 0.0112887610704744
"K" "Miaoli County" 79.75 919.26 18 41.33 0.749453312782541 39.97 225505 3.76 57.84 29.4475 2.46 92965 5 191.11 1005.74 0.159364647776301 3.7 55.8 399 298.07 0.00840766877384397
"N" "Changhua County" 80.71 1141.5 27 41.42 0.755792286856493 36.12 600957 11.01 54.07 34.93 7.38 94258 1 186.67 638.78 0.086142860730087 3.8 51.2 374 1178.96 0.0049117421269944
"M" "Nantou County" 79.49 1144.02 38 41.49 0.785846101412884 35.44 212589 4.24 54.49 32.2325 18.17 93755 4 170.6 798.05 0.0380890855887843 3.8 33.3 414 119.53 0.0218538682074518
"P" "Yunlin County" 79.15 1144.77 25 43.13 0.791638581384569 32.62 248506 4.77 56.34 28.8275 17.62 94550 2 216.87 788.73 0.148745940029574 3.8 61.8 380 524.37 0.0098219252356055
"Q" "Chiayi County" 79.54 1246.77 33 41.52 0.797479245582723 29.76 197386 12.26 63.37 22.9975 12.98 94188 3 168.46 644.15 0.232364758712034 3.8 48.9 402 262.38 0.0180595758397216
"T" "Pingtung County" 77.89 1103.78 24 39.61 0.792224201227234 32.11 323866 3.37 58.63 22.5225 18.03 93398 13 315.98 735.09 0.12780134683759 3.8 59.8 406 292.79 0.0111231120594395
"V" "Taitung County" 76.5 1256.36 62 40.62 0.714892184800413 29.41 99518 9.71 60.93 31.0325 0.27 92537 16 181.28 738.47 0.0435122561410306 3.7 51.9 380 61.24 0.0331992799438821
"U" "Hualien County" 77.47 1430.33 69 41.22 0.737398292879703 40.66 148013 16.9 58.72 24.365 0.82 93308 11 81.24 403.55 0.0156847488407638 3.7 47.8 389 70.08 0.0246587640116903
"C" "Keelung City" 80.18 1342.62 13 38.36 0.792797049223868 43.25 211900 3.8 55.03 23.23 3.28 92852 1 156.27 518.25 0.000472009089609388 4 55.7 411 2768.76 0.066758042532585
"O" "Hsinchu City" 81.73 912 15 42.88 0.790745338046813 58.03 205287 6.12 60.17 28.3925 5.19 92874 0 181.92 521.88 0.00286657666165986 3.8 55.6 356 4334.14 0.0135720428344838
"I" "Chiayi City" 80.66 1229.17 16 41.81 0.755341698096422 57.68 133008 4.63 59.22 20.8375 13.39 94549 3 77.86 309.84 0.0182065462835085 3.7 56.3 354 4431.53 0.00636308565628466
