"city" "index" "eq_score" "garbage_score" "green_score" "recycle_score" "AQI.over100_score" "typhoon_score" "energy_score" "temp_score" "humid_score" "water_score" "environment"
"F" "New Taipei City" 0.75 0 0 0.645406670567583 0.770579639551875 0.75 0.0446257230699243 0.304761904761905 0.5859375 0.019734570201753 3.87104600815304
"A" "Taipei City" 1 0.52576033297976 0.064406779661017 1 0.853385289819776 0.8125 0.00861579703606795 0.288888888888889 0.84375 0.0335566746009422 5.43086376298645
"H" "Taoyuan City" 0.946428571428571 0.194411967919836 0.0488135593220339 0.407255705090696 0.7501217730151 0.8125 0.103176926890708 0.320634920634921 0.1796875 0 3.76303092430187
"B" "Taichung City" 0.553571428571429 0.282751976511247 0.498305084745763 0.183148039789351 0.595226497808086 0.75 0.0685595619723555 0.317460317460318 1 0.0116195273897283 4.26064243424828
"D" "Tainan City" 0.696428571428571 0.387088276059573 0.225084745762712 0.476887068461088 0.251339503166098 0.8125 0.140775934105209 0.247619047619048 0.8203125 0.0508514380314862 4.10888708463379
"E" "Kaohsiung City" 0.625 0.0797576332190129 0.590508474576271 0.0942071386775892 0 0.4375 0.106486491057816 0 0.890625 0.044431178311226 2.86851591584192
"G" "Yilan County" 0.392857142857143 0.933643856793124 0.105084745762712 0.329432416617905 0.960058451047248 0.4375 0.0407276762061455 0.504761904761905 0 1 4.70406619404618
"J" "Hsinchu County" 0.982142857142857 0.901411466059058 0.115932203389831 0.0245757753071973 0.73356064296152 0.6875 0.0697825208634137 0.228571428571429 0.859375 0.130951278082845 4.73380317237815
"K" "Miaoli County" 0.910714285714286 0.91242668453532 0.109152542372881 0.220596840257461 0.893326838772528 0.6875 0.685198821202501 0.285714285714286 0.46875 0.0918547372216703 5.26523503579093
"N" "Changhua County" 0.75 0.651450739097735 0.600677966101695 0 0.653677545056016 0.9375 0.369441700009896 0.431746031746032 0.6640625 0.0444148689619555 5.10297135097333
"M" "Nantou County" 0.553571428571429 0.921404570686604 0.141694915254237 0.0245757753071973 0.128105211885046 0.75 0.162217562042903 1 0.3515625 0.27432021609522 4.30745217984263
"P" "Yunlin County" 0.785714285714286 0.896438734754762 0.177627118644068 0.132826214160328 0.154895275207014 0.875 0.639407360434465 0.0952380952380955 0.6171875 0.111046255525373 4.48538083967839
"Q" "Chiayi County" 0.642857142857143 0.931972146031755 0.685423728813559 0.544177881802223 0.380905991232343 0.8125 1 0.504761904761905 0.4453125 0.222831512742083 6.17074280824101
"T" "Pingtung County" 0.803571428571429 0.844056147238445 0.0827118644067797 0.266822703335284 0.134924500730638 0.1875 0.549087187742191 0.158730158730159 0.4140625 0.128703414195905 3.57016990495083
"V" "Taitung County" 0.125 1 0.512542372881356 0.401404330017554 1 0 0.185604108457469 0.40952380952381 0.6171875 0.428277919588085 4.67954004046827
"U" "Hualien County" 0 0.966291221050905 1 0.272088940901112 0.973209936678032 0.3125 0.0656024812156666 0.53968253968254 0.546875 0.31238276742341 4.98863288695166
"C" "Keelung City" 1 0.92188349322905 0.111864406779661 0.0561732007021651 0.853385289819776 0.9375 0 0.288888888888889 0.375 0.883671706983996 5.42836698640354
"O" "Hsinchu City" 0.964285714285714 0.926480176499292 0.269152542372881 0.356933879461674 0.760350706283488 1 0.0103261856006684 0.292063492063492 0.8046875 0.161935505449867 5.54621570201708
"I" "Chiayi City" 0.946428571428571 0.97672116698618 0.168135593220339 0.301345816266823 0.360935216755967 0.8125 0.0764773250684859 0.26984126984127 0.8203125 0.0641096602960832 4.79680711986372
