city	income	non_payment	payment
F	1352548	217664	791454
A	1716591	293735	1109351
H	1424027	241310	878957
B	1289700	207056	867844
D	1086475	182334	711289
E	1224100	206305	805946
G	1138365	178991	754386
J	1619782	325378	1036565
K	1161999	191760	679104
N	996066	150667	602152
M	997605	152069	631895
P	988062	157345	624843
Q	906554	125318	597640
T	1064508	172530	670799
V	891340	126685	510527
U	1032499	159188	602175
X	1091011	171536	582716
C	1106963	160742	716855
O	1618903	324598	955542
I	1225219	179629	745830

