city	s1	s2	s3	s4
F	47.94	46.04	48.63	48.36
A	57.06	57.57	61.14	63.12
H	30.61	29.69	31.72	30.59
B	40.99	38.41	39.91	40.08
D	29.81	29.18	30.15	30.94
E	29.83	29.08	30.58	31.12
G	31.02	32.97	33.98	34.64
J	31.18	32.19	33.4	31.03
K	27.32	28.87	29.7	31.9
N	34.44	34.65	36.12	34.51
M	34.04	30.04	31.99	32.86
P	29.55	29.61	27.98	28.17
Q	24.45	21.5	23.46	22.58
T	21.98	22.27	23.34	22.5
V	30.9	29.54	31.79	31.9
U	29.32	31.12	34.35	2.67
X	30.27	27.92	26.54	31.33
C	23.3	22.94	22.46	24.22
O	27.4	27.05	29.62	29.5
I	19.57	19.53	21.47	22.78
