"city" "index" "age_score" "crime_score" "eq_score" "depend_score" "pay_score" "edu_score" "garbage_score" "green_score" "recycle_score" "hp_score" "AQI.over100_score" "med_examine_score" "typhoon_score" "energy_score" "unemploy_score" "temp_score" "humid_score" "popu_score" "water_score" "med_resource_score" "society" "environment" "final"
"F" "New Taipei City" 0.700787401574803 0.982919124094605 0.75 1 0.752280448487533 0.387245647157541 0 0 0.645406670567583 0.308087951652308 0.770579639551875 0.632525197493871 0.75 0.0446257230699243 0.333333333333334 0.304761904761905 0.5859375 0.800008829539434 0.019734570201753 0.222651310883485 6.11983924421692 3.87104600815304 9.99088525236996
"A" "Taipei City" 1 0.250219216585987 1 0 0.18622784934304 1 0.52576033297976 0.064406779661017 1 0 0.853385289819776 1 0.8125 0.00861579703606795 0.333333333333334 0.288888888888889 0.84375 0 0.0335566746009422 0.879787502099782 4.64956790136214 5.43086376298645 10.0804316643486
"H" "Taoyuan City" 0.636482939632545 0.978486744903965 0.946428571428571 0.964426877470356 0.429848024615373 0.336479966435914 0.194411967919836 0.0488135593220339 0.407255705090696 0.747589044618748 0.7501217730151 0.640152546989921 0.8125 0.103176926890708 0 0.320634920634921 0.1796875 0.811113026513846 0 0.620827994113489 6.16540716529416 3.76303092430187 9.92843808959602
"B" "Taichung City" 0.60498687664042 1 0.553571428571429 0.938735177865613 0.0585187570644831 0.425844346549192 0.282751976511247 0.498305084745763 0.183148039789351 0.511122540825511 0.595226497808086 0.235358213020975 0.75 0.0685595619723555 0.333333333333334 0.317460317460318 1 0.872569774384245 0.0116195273897283 0.728201148317399 5.70867016800117 4.26064243424828 9.96931260224945
"D" "Tainan City" 0.519685039370078 0.453243804879221 0.696428571428571 0.789525691699605 0.145491010597536 0.254038179148311 0.387088276059573 0.225084745762712 0.476887068461088 0.763854956924264 0.251339503166098 0.181966766548624 0.8125 0.140775934105209 0.666666666666668 0.247619047619048 0.8203125 0.916514602376407 0.0508514380314862 0.599486082259813 5.29047280047053 4.10888708463379 9.39935988510431
"E" "Kaohsiung City" 0.446194225721785 0.889274603308068 0.625 0.798418972332016 0.110253281421391 0.358716173694147 0.0797576332190129 0.590508474576271 0.0942071386775892 0.76044747331876 0 0.170798147643694 0.4375 0.106486491057816 0.666666666666668 0 0.890625 0.907943642311153 0.044431178311226 0.723183405088907 5.83189659150659 2.86851591584192 8.7004125073485
"G" "Yilan County" 0.493438320209974 0 0.392857142857143 0.689723320158103 0.165898333192202 0.117264526956157 0.933643856793124 0.105084745762712 0.329432416617905 0.683296901118683 0.960058451047248 0.27431217651866 0.4375 0.0407276762061455 0.333333333333334 0.504761904761905 0 0.984220351667942 1 0.643476280996643 4.3849635441517 4.70406619404618 9.08902973819788
"J" "Hsinchu County" 0.578740157480314 0.53527284957538 0.982142857142857 0.66403162055336 0 0.333962659953849 0.901411466059058 0.115932203389831 0.0245757753071973 0.714221422142214 0.73356064296152 0.496594933260692 0.6875 0.0697825208634137 0.666666666666668 0.228571428571429 0.859375 0.964409598129819 0.130951278082845 0.13300016798253 5.08690007574483 4.73380317237815 9.82070324812298
"K" "Miaoli County" 0.426509186351706 0.91986883040444 0.910714285714286 0.627470355731226 0.725545274012874 0.221522970421649 0.91242668453532 0.109152542372881 0.220596840257461 0.778577857785779 0.893326838772528 0.431762462544266 0.6875 0.685198821202501 1 0.285714285714286 0.46875 0.975105954473213 0.0918547372216703 0.335647845540438 6.44201073726559 5.26523503579093 11.7072457730565
"N" "Changhua County" 0.552493438320209 0.652917082077092 0.75 0.618577075098814 0.675206598915067 0.140759387455423 0.651450739097735 0.600677966101695 0 0.637585187090138 0.653677545056016 0.079542359030237 0.9375 0.369441700009896 0.666666666666668 0.431746031746032 0.6640625 0.882512466468773 0.0444148689619555 0.559868978545416 5.46612923966784 5.10297135097333 10.5691005906412
"M" "Nantou County" 0.392388451443569 0.649890091410313 0.553571428571429 0.611660079051383 0.436545075969193 0.126494650723726 0.921404570686604 0.141694915254237 0.0245757753071973 0.706956409926707 0.128105211885046 0.216562244619995 0.75 0.162217562042903 0.666666666666668 1 0.3515625 0.993872930313911 0.27432021609522 0.500341211316553 5.30137781144202 4.30745217984263 9.60882999128465
"P" "Yunlin County" 0.347769028871392 0.648989201330915 0.785714285714286 0.449604743083004 0.390546186574239 0.0673379483952171 0.896438734754762 0.177627118644068 0.132826214160328 0.794522309373794 0.154895275207014 0 0.875 0.639407360434465 0.666666666666668 0.0952380952380955 0.6171875 0.951318754782667 0.111046255525373 0.408642268315831 4.72539710739373 4.48538083967839 9.21077794707212
"Q" "Chiayi County" 0.398950131233596 0.526468150532726 0.642857142857143 0.608695652173913 0.344164659532757 0.00734214390602059 0.931972146031755 0.685423728813559 0.544177881802223 0.944451588015944 0.380905991232343 0.0986107327703623 0.8125 1 0.666666666666668 0.504761904761905 0.4453125 0.978857457597188 0.222831512742083 0.594961237313118 5.16916841974229 6.17074280824101 11.3399112279833
"T" "Pingtung County" 0.18241469816273 0.698225847136971 0.803571428571429 0.797430830039526 0.385895697923109 0.0566393958464443 0.844056147238445 0.0827118644067797 0.266822703335284 0.956667095280957 0.134924500730638 0.313810950694634 0.1875 0.549087187742191 0.666666666666668 0.158730158730159 0.4140625 0.975660954094804 0.128703414195905 0.231945420473179 5.26535755631902 3.57016990495083 8.83552746126985
"V" "Taitung County" 0 0.514948769384152 0.125 0.697628458498024 1 0 1 0.512542372881356 0.401404330017554 0.737816638806738 1 0.548351947698175 0 0.185604108457469 1 0.40952380952381 0.6171875 1 0.428277919588085 0.512806618779251 6.01155243316634 4.67954004046827 10.6910924736346
"U" "Hualien County" 0.127296587926509 0.305978306566888 0 0.638339920948617 0.821275864342963 0.235997482693518 0.966291221050905 1 0.272088940901112 0.909283785521409 0.973209936678032 0.338327431217652 0.3125 0.0656024812156666 1 0.53968253968254 0.546875 0.999070796088094 0.31238276742341 0.919003698527511 6.29457387383316 4.98863288695166 11.2832067607848
"C" "Keelung City" 0.482939632545932 0.411334398385605 1 0.920948616600791 0.381346632278327 0.29032934759807 0.92188349322905 0.111864406779661 0.0561732007021651 0.938472418670438 0.853385289819776 0.462544265867611 0.9375 0 0 0.288888888888889 0.375 0.71540292131619 0.883671706983996 0.694286785881928 5.29760501914489 5.42836698640354 10.7259720055484
"O" "Hsinchu City" 0.686351706036746 0.928589446373016 0.964285714285714 0.474308300395257 0.397639556201249 0.60037759597231 0.926480176499292 0.269152542372881 0.356933879461674 0.805709142342806 0.760350706283488 0.456551348406429 1 0.0103261856006684 0.666666666666668 0.292063492063492 0.8046875 0.550860249413466 0.161935505449867 0.63830159667611 6.20535560848406 5.54621570201708 11.7515713105011
"I" "Chiayi City" 0.545931758530183 0.547609037729276 0.946428571428571 0.580039525691699 0.678784786951704 0.593035452066289 0.97672116698618 0.168135593220339 0.301345816266823 1 0.360935216755967 0.000272405339144632 0.8125 0.0764773250684859 1 0.26984126984127 0.8203125 0.540623239347791 0.0641096602960832 0.980979152026236 6.46727535768232 4.79680711986372 11.264082477546
