city	month	temperature	T_max	T_min	Precp	Precpday	RelHumidity
A	1	17.9	29.4	7.1	38.6	10	75
A	2	18.7	31.6	8.5	29.6	8	72
A	3	20.8	34.2	13	245.5	17	75
A	4	20.9	33.6	10.3	87.9	15	73
A	5	26.9	36.6	21.8	405.8	15	77
A	6	30.5	38.9	24.8	117.9	8	68
A	7	30.9	39.7	24.6	133.5	9	67
A	8	30.2	38.5	25.1	322.5	13	70
A	9	27.8	37.6	20.5	129.5	15	73
A	10	24.5	35.9	18.7	25.5	11	77
A	11	23.3	32.8	17.9	21.5	10	76
A	12	18.1	26.4	7.6	145	24	88
F	1	17.3	27.6	6.3	47.6	11	79
F	2	18.1	29.6	9.7	37.5	5	76
F	3	20.3	32.8	13.9	307	17	79
F	4	20.4	32.1	9.9	97.1	15	76
F	5	26.6	35.6	20.2	427.6	15	78
F	6	30	37.3	24	108.3	6	71
F	7	30.4	38.2	24.3	256	8	70
F	8	29.6	37.5	24.8	342	13	72
F	9	27.2	36.7	20.1	164	13	5
F	10	24.4	35.3	18.5	30	9	76
F	11	23	32	18	25	10	76
F	12	17.9	25.8	7.5	142	22	86
H	1	16.5	26.4	7.2	42	5	82
H	2	16.9	26.1	9.3	53.7	5	83
H	3	19.3	28.9	11.9	78.2	12	87
H	4	20	27.7	9.4	56	14	81
H	5	25.8	31.6	19.5	66.8	13	86
H	6	28.7	32.4	23.8	21.3	4	82
H	7	30	36.2	25.9	1.9	3	78
H	8	29.2	35.7	24.7	25.6	8	80
H	9	26.7	33	20.3	46.6	8	8
H	10	24	31.6	19	38.1	9	75
H	11	22.4	30.9	17.4	24.4	6	77
H	12	17.4	22.7	6.9	137.1	21	83
B	1	18	29	6.9	20	1	76
B	2	19	30.2	8.4	4.5	2	72
B	3	22.3	33.2	14.5	55	6	70
B	4	22.2	32.8	12.8	59.5	9	70
B	5	27.5	36.9	21.8	306.5	11	75
B	6	29.1	35.1	22	183.5	5	70
B	7	29.6	36.3	24	93.5	12	74
B	8	28.5	35.2	23.2	278.5	16	75
B	9	28.1	35.1	21.7	74	4	71
B	10	26.1	34.8	19.7	0.01	0	69
B	11	23.9	33.7	18.1	3.5	2	72
B	12	19.5	28.5	9.1	41.5	6	77
D	1	18.5	29.3	7.8	23	3	74
D	2	19.9	30.6	9.9	1	1	74
D	3	23	32.8	15.1	40.55	4	72
D	4	23.2	33.4	14.5	23	3	70
D	5	28.1	35.9	22.8	445	12	76
D	6	29.8	35.5	24.1	73	7	73
D	7	29.8	36.1	24.6	161.5	14	75
D	8	28.4	35.3	23.9	702.5	19	80
D	9	28.8	34.5	23.2	61.5	3	73
D	10	26.4	33.1	19.8	2	2	73
D	11	23.8	32	18.3	65	3	78
D	12	19.9	29	10.1	9	4	76
E	1	20.9	29	11.7	26.5	4	70
E	2	21.8	29.9	13	0.5	1	69
E	3	24.7	32	18.1	29	3	71
E	4	25	31	17.1	34.5	2	69
E	5	28.6	34.5	23.3	748	9	79
E	6	30.3	35.9	25.2	163	6	75
E	7	30.5	34.5	25.3	146.5	14	76
E	8	29.1	34.9	24.5	915	22	82
E	9	29.7	35	24.4	27.5	6	75
E	10	27.9	33.4	21.4	9.5	3	74
E	11	25.8	30.9	21.1	55	3	74
E	12	22.3	28.6	13.3	7.5	3	71
G	1	18.1	26	10.5	90	10	80
G	2	18.2	27.1	9.7	243.5	17	83
G	3	20	28.7	13.4	161.5	17	84
G	4	20.3	30.7	11.9	327	16	82
G	5	25.5	31.4	21.7	212	21	88
G	6	28.8	34.7	24.1	224.5	7	78
G	7	29.4	34.3	24.5	77.5	8	77
G	8	29.1	34	24.3	152.5	11	76
G	9	27	34.4	21.4	66	12	78
G	10	23.7	30.3	18.6	982	24	87
G	11	21.8	29.4	17.5	1102	27	92
G	12	17.8	17.8	8.4	1793	26	94
J	1	16.7	27.5	8.1	36	4	78
J	2	17.6	28.7	8.3	55	6	74
J	3	20	31.1	13	105	12	79
J	4	20.5	29.6	9.5	72.5	10	74
J	5	26.6	33.5	20.4	353.2	13	78
J	6	29.7	35.6	23.6	46	4	70
J	7	30.8	37.7	26	0.7	2	65
J	8	29.6	37.1	24.6	219.5	13	72
J	9	27.5	35.2	20.3	80.5	7	73
J	10	24.9	32.2	18.9	5	2	71
J	11	23.3	34.4	17.8	7.5	5	73
J	12	18	24	6.9	44.5	12	82
K	1	16.5	29.8	7.7	34	3	81
K	2	17.1	29.1	4.7	26.5	5	81
K	3	20	31.5	9.4	87	9	82
K	4	20.1	29.7	7.5	63	10	80
K	5	26.4	34.7	18.8	335	10	83
K	6	29.2	35.2	22.8	58.5	4	75
K	7	30.2	37.6	24.6	9.5	4	72
K	8	29.2	37.6	23.3	39	9	78
K	9	27.4	38.1	19	29	6	76
K	10	24.6	33.3	17.3	5	1	74
K	11	22.6	31.2	16.1	5.5	2	76
K	12	18.1	25.3	7.1	34	8	81
M	1	14.8	24.7	3.5	11.5	2	72
M	2	15.7	27.2	5.7	70.5	2	71
M	3	18	29.4	9.3	90	5	76
M	4	18	29.1	7.4	72	9	75
M	5	21.9	32.8	17.3	508	17	86
M	6	23.2	31.4	18.2	330	15	83
M	7	23.6	32.3	18.7	239	15	81
M	8	23.1	32.2	18.9	249	20	85
M	9	23	31.7	18.2	81	3	82
M	10	21.7	31.8	16.3	0.01	0	82
M	11	19.9	30.4	13.2	5	2	80
M	12	16.8	28.2	7.1	51	6	81
N	1	17.8	28.7	6.5	17.5	1	78
N	2	19.3	29.4	10	5.5	2	76
N	3	21.7	31.9	13.2	47	5	77
N	4	21.9	32.7	11.3	36	8	75
N	5	27	34.8	21.7	419.5	11	78
N	6	28.8	35.8	23.2	46	7	73
N	7	29.2	37.1	22.8	1.6	13	72
N	8	28.1	35.6	22.3	358.5	18	80
N	9	27.8	35.4	21.6	25	4	74
N	10	25.6	34.4	19.5	0	0	74
N	11	23.4	32.4	17.7	2.5	3	77
N	12	19.2	28.2	9.4	31	7	80
P	1	17.4	28.6	6.2	14	1	79
P	2	18.4	29.6	8.3	7.5	2	78
P	3	21.6	32.6	13.9	38.5	44	81
P	4	21.7	33	12	36.5	8	80
P	5	27.3	35	21.1	405	12	80
P	6	29.6	36.2	22.9	79	6	71
P	7	30.2	37.1	24.1	99	7	70
P	8	28.7	36.3	23.8	293.5	16	77
P	9	28.4	35	22.2	57.5	4	74
P	10	25.6	34.3	19.6	0.5	1	74
P	11	23.4	32.2	17.5	7	4	77
P	12	29.1	28.7	9.1	20	6	79
Q	1	17.7	28	6.7	15	2	82
Q	2	18.7	29.1	9.1	14.5	3	78
Q	3	21.7	32.1	14	96	5	79
Q	4	21.8	32.4	12.6	48.5	7	78
Q	5	26.7	33.7	21.8	355	14	80
Q	6	28.5	34.9	22.5	59	11	72
Q	7	28.8	34.5	22.9	125.5	12	73
Q	8	27.3	34.3	22.2	567.5	26	81
Q	9	27.2	33.2	21.2	119.5	9	78
Q	10	25.1	32.9	18.7	3	2	78
Q	11	22.9	31.2	17.4	15.5	5	81
Q	12	18.7	27.8	8.7	16.5	6	82
T	1	21.9	29.3	15.3	57.2	5	76
T	2	21.9	29.4	15.4	53	8	79
T	3	24	31.6	18.3	12	3	80
T	4	24.7	32.4	17.2	6	2	73
T	5	28	34.2	23.7	220.8	15	86
T	6	29.6	33.9	24.1	80	10	86
T	7	29.8	34.8	25.3	246.5	13	85
T	8	28.5	34.6	24.4	463.5	23	89
T	9	28.6	34.2	24.2	69.5	6	80
T	10	26.9	32.4	22	48	12	71
T	11	25.3	30.6	20.5	180	6	72
T	12	22.6	28.7	14.2	2	2	69
U	1	19.5	27.2	11.6	50.7	15	77
U	2	19.6	27.8	12.1	18.6	9	74
U	3	21.4	29.5	15.1	119.1	17	80
U	4	21.5	30.1	15	57	14	79
U	5	26.1	32.8	22	171.5	21	83
U	6	29.3	34.7	24.6	53.5	6	75
U	7	29.5	35.3	24.6	105	10	76
U	8	29.1	34.1	24	101.5	10	75
U	9	27.4	34	22.4	107	13	76
U	10	25.3	32	19.3	259	15	74
U	11	23.5	29.4	18.9	146	21	79
U	12	20.2	26.8	11.4	84	18	81
V	1	20.5	27.2	13.4	34.6	9	74
V	2	20.5	28.4	12.9	32.2	10	75
V	3	22.7	30.9	15.9	41.2	10	78
V	4	22.9	31.2	16.3	48.2	6	74
V	5	27.1	33.9	23.4	291.8	18	84
V	6	29.6	34.2	25.3	78.8	7	77
V	7	30.1	35.3	24.7	86	7	76
V	8	29	33.9	24.9	190.5	13	79
V	9	28.2	34.8	23.4	103	7	76
V	10	26	31.8	20.5	94	7	74
V	11	24.2	30.4	19.9	125	11	77
V	12	21.1	27.2	11.6	12	10	76
C	1	17.2	26.5	8.3	189	14	77
C	2	17.7	27.4	8.6	161.7	13	76
C	3	19.7	31.2	12.4	202.7	20	81
C	4	19.8	30.5	11.1	233.8	20	80
C	5	25.9	34.4	21.6	475.7	18	84
C	6	29.7	37.6	24.9	91.7	9	73
C	7	30.1	36.5	25.2	134	7	73
C	8	29.9	38.5	25.1	212	9	73
C	9	27.2	37	21	485.4	15	79
C	10	24.5	31.8	19.2	505	19	80
C	11	22.8	30.9	17.9	277.5	18	83
C	12	18	23.1	7.7	936.5	28	92
