city	month	use_electricity
A	1	1064385176
A	2	1050434812
A	3	1122595681
A	4	1045306422
A	5	1223979979
A	6	1351108972
A	7	1656312676
A	8	1607541328
A	9	1689536881
A	10	1416896549
A	11	1261687247
A	12	1066316509
F	1	1411728602
F	2	1469296909
F	3	1537597643
F	4	1465677061
F	5	1597783545
F	6	1758844195
F	7	2150896741
F	8	2146549391
F	9	2255281180
F	10	1931205414
F	11	1694452170
F	12	1488109712
H	1	1972791525
H	2	2135565359
H	3	2202557770
H	4	2124239208
H	5	2147381475
H	6	2330464383
H	7	2494385786
H	8	2654414215
H	9	2546388235
H	10	2642714392
H	11	2216994754
H	12	2230288483
B	1	2357417131
B	2	2422762549
B	3	2582461852
B	4	2457795348
B	5	2643905951
B	6	2750821746
B	7	3050761712
B	8	3020694361
B	9	3071764601
B	10	2907828099
B	11	2787763360
B	12	2647689961
D	1	2046527737
D	2	2091983939
D	3	2245531615
D	4	2193709978
D	5	2333205440
D	6	2440387980
D	7	2661078964
D	8	2664155102
D	9	2634189848
D	10	2587505240
D	11	2455172710
D	12	2352941952
E	1	2221899351
E	2	2185989747
E	3	2418661277
E	4	2241572836
E	5	2447605869
E	6	2424178157
E	7	2728924094
E	8	2605655256
E	9	2763063309
E	10	2588414218
E	11	2596027054
E	12	2363927058
G	1	239657610
G	2	258829484
G	3	266666250
G	4	244557550
G	5	270089067
G	6	291255507
G	7	331928647
G	8	1342791092
G	9	334788345
G	10	307923783
G	11	268537244
G	12	258738260
J	1	718123583
J	2	733405666
J	3	765408441
J	4	744766889
J	5	794786378
J	6	839435410
J	7	894180419
J	8	914502754
J	9	879775329
J	10	859336574
J	11	782778559
J	12	771647456
K	1	501860642
K	2	505754580
K	3	566457852
K	4	525384384
K	5	579704562
K	6	572121538
K	7	646856184
K	8	641269529
K	9	653142753
K	10	619798196
K	11	600214984
K	12	614926750
M	1	194957545
M	2	227304176
M	3	216842993
M	4	219185268
M	5	217656668
M	6	250540790
M	7	253276002
M	8	273627857
M	9	256418732
M	10	263558384
M	11	230139644
M	12	238633655
N	1	794644221
N	2	849276020
N	3	892314247
N	4	841366893
N	5	865757294
N	6	930230995
N	7	1042540371
N	8	1053972439
N	9	1075361319
N	10	1031555716
N	11	962370785
N	12	924613818
P	1	401965237
P	2	417728407
P	3	447808254
P	4	427774846
P	5	457260137
P	6	481252454
P	7	538151987
P	8	525271506
P	9	541505336
P	10	509605130
P	11	485742426
P	12	436505758
Q	1	190255862
Q	2	200429596
Q	3	218497232
Q	4	219427568
Q	5	226960577
Q	6	240935759
Q	7	282313304
Q	8	263761862
Q	9	282705771
Q	10	254152350
Q	11	259336096
Q	12	224153224
T	1	340123435
T	2	354158038
T	3	370609848
T	4	359509070
T	5	398916152
T	6	422318760
T	7	485472425
T	8	443368756
T	9	470503515
T	10	422325709
T	11	424071539
T	12	370600505
U	1	169665540
U	2	188897544
U	3	187875773
U	4	187690541
U	5	195129951
U	6	209399210
U	7	225052852
U	8	230728072
U	9	220512434
U	10	219100116
U	11	204032718
U	12	200189804
V	1	64251786
V	2	72337718
V	3	69551322
V	4	71256267
V	5	71517525
V	6	86516177
V	7	95246068
V	8	102532603
V	9	96289717
V	10	93163081
V	11	77252511
V	12	72921289
C	1	95812943
C	2	111851276
C	3	104443652
C	4	108403171
C	5	108236200
C	6	130559940
C	7	142988080
C	8	160973047
C	9	151926306
C	10	144478771
C	11	112209569
C	12	105734776
O	1	794484380
O	2	766760168
O	3	831006346
O	4	800699158
O	5	884152227
O	6	896128064
O	7	983411445
O	8	973346067
O	9	960098153
O	10	910260776
O	11	858648691
O	12	825779763
I	1	78277673
I	2	82274837
I	3	84725603
I	4	82217950
I	5	93182364
I	6	104604698
I	7	123560613
I	8	119820624
I	9	124471553
I	10	112170213
I	11	102745947
I	12	86346119
